file_id,FIA-Edit_SD35|structure_distance,FIA-Edit_SD35|psnr_unedit_part,FIA-Edit_SD35|lpips_unedit_part,FIA-Edit_SD35|mse_unedit_part,FIA-Edit_SD35|ssim_unedit_part,FIA-Edit_SD35|clip_similarity_source_image,FIA-Edit_SD35|clip_similarity_target_image,FIA-Edit_SD35|clip_similarity_target_image_edit_part
000000000023,0.008392658,27.973337173461914,0.04904378205537796,0.0015946530038490891,0.8332211375236511,25.9862003326416,27.544641494750977,25.09182357788086
000000000024,0.010514906,25.70614242553711,0.07746108621358871,0.0026877291966229677,0.8109270930290222,30.324443817138672,28.90034294128418,23.4721622467041
000000000025,0.01108405,34.6321907043457,0.015711402520537376,0.0003441763110458851,0.9722198843955994,20.022602081298828,28.621152877807617,29.330671310424805
000000000026,0.008729812,28.215227127075195,0.055683039128780365,0.0015082632889971137,0.9282707571983337,26.31693458557129,30.546192169189453,28.19332504272461
000000000027,0.0072801206,22.424901962280273,0.09824015945196152,0.005721496418118477,0.7857592105865479,24.269929885864258,25.868242263793945,20.484437942504883
000000000028,0.0036735018,nan,nan,nan,nan,22.9902286529541,26.75168228149414,26.75168228149414
000000000029,0.013711484,27.49481964111328,0.05530736595392227,0.0017804017988964915,0.9230316877365112,12.000762939453125,26.305728912353516,25.10637855529785
000000000030,0.008643587,23.580766677856445,0.051494233310222626,0.004384532570838928,0.7958983182907104,20.274702072143555,24.707975387573242,22.988203048706055
000000000031,0.022973526,37.969173431396484,0.03650350123643875,0.00015961822646204382,0.9010065793991089,21.24993896484375,19.157201766967773,20.6354923248291
000000000032,0.002852569,31.019075393676758,0.03043992444872856,0.0007908467086963356,0.9380568265914917,21.37807273864746,18.288881301879883,18.505138397216797
000000000033,0.0026694776,26.99850845336914,0.05875500664114952,0.0019959474448114634,0.9526499509811401,30.452245712280273,34.78425216674805,19.43229866027832
000000000034,0.016432099,nan,nan,nan,nan,26.675373077392578,31.5175838470459,31.5175838470459
000000000035,0.0054889503,nan,nan,nan,nan,21.669532775878906,26.238683700561523,26.238683700561523
000000000036,0.003247837,32.01897048950195,0.016573455184698105,0.0006282069371081889,0.9599403738975525,16.292688369750977,14.67333984375,14.553555488586426
000000000037,0.0027047654,24.27587127685547,0.0665968731045723,0.0037360526621341705,0.7964186668395996,21.718847274780273,22.28261375427246,15.06614875793457
000000000038,0.0028136484,26.031421661376953,0.052536480128765106,0.002493777545168996,0.8933191299438477,29.87331771850586,30.87384796142578,18.642776489257812
000000000039,0.014479508,21.012157440185547,0.07222208380699158,0.007921076379716396,0.8174619078636169,23.51282501220703,23.748193740844727,25.25252914428711
000000000040,0.0145401405,36.537174224853516,0.022141139954328537,0.00022196410282049328,0.9695197939872742,23.978368759155273,25.45987319946289,22.496898651123047
000000000041,0.007208196,35.836673736572266,0.005912162829190493,0.000260815053479746,0.972658097743988,22.08028221130371,27.44377326965332,23.6217098236084
000000000042,0.015485501,24.7612247467041,0.11909881234169006,0.0033410086762160063,0.8777841329574585,24.521482467651367,26.312265396118164,20.502885818481445
000000000043,0.0051331706,29.98283576965332,0.0322563499212265,0.001003959565423429,0.9115702509880066,24.844974517822266,25.003198623657227,21.199115753173828
000000000044,0.014279836,23.698570251464844,0.05350090563297272,0.004267198499292135,0.9112922549247742,25.213850021362305,26.071468353271484,26.623186111450195
000000000045,0.007960287,26.303316116333008,0.05855792388319969,0.002342439256608486,0.9111388921737671,27.161556243896484,29.707500457763672,25.520631790161133
000000000046,0.008582741,nan,nan,nan,nan,20.225351333618164,23.723125457763672,23.723125457763672
000000000047,0.018759668,24.538179397583008,0.019035883247852325,0.0035170766059309244,0.9211336970329285,26.739498138427734,25.10885238647461,25.035137176513672
000000000048,0.0021929399,43.14423751831055,0.005979391746222973,4.8481495468877256e-05,0.9925610423088074,23.46272850036621,22.810428619384766,21.694711685180664
000000000049,0.0059278277,26.636619567871094,0.060670990496873856,0.0021693918388336897,0.8689587116241455,22.586708068847656,22.472152709960938,28.12366485595703
000000000050,0.008801477,27.53582000732422,0.06300622224807739,0.001763671636581421,0.916521430015564,16.271347045898438,28.119827270507812,25.41292381286621
000000000051,0.011131256,27.605527877807617,0.035428985953330994,0.0017355895834043622,0.9229702949523926,30.43474006652832,28.572193145751953,22.11779022216797
000000000052,0.075776935,48.499839782714844,0.011586898937821388,1.4125888810667675e-05,0.889568567276001,24.284151077270508,18.1221981048584,19.739551544189453
000000000053,0.007068273,24.271358489990234,0.060879647731781006,0.0037399346474558115,0.8263432383537292,19.399520874023438,20.778301239013672,20.01418113708496
000000000054,0.0073360717,23.305688858032227,0.0656866803765297,0.004671228583902121,0.8479069471359253,21.57695960998535,21.823238372802734,20.368183135986328
000000000055,0.033743046,nan,nan,nan,nan,22.372922897338867,28.652902603149414,28.652902603149414
000000000056,0.021933554,24.2491455078125,0.05350402370095253,0.0037591129075735807,0.7873727679252625,26.684444427490234,33.92011642456055,24.481613159179688
000000000057,0.01383883,nan,nan,nan,nan,23.55120277404785,22.859420776367188,22.859420776367188
000000000058,0.004606307,25.54904556274414,0.07629475742578506,0.0027867325115948915,0.6402221322059631,20.977073669433594,21.68501091003418,20.446502685546875
000000000059,0.006563862,26.158924102783203,0.04405065253376961,0.0024216289166361094,0.9192789793014526,24.84177589416504,22.9151554107666,23.146270751953125
000000000060,0.0030793312,38.91815185546875,0.008373888209462166,0.00012828763283323497,0.9822356104850769,24.834962844848633,21.89240074157715,23.00959014892578
000000000061,0.0038525,nan,nan,nan,nan,26.358440399169922,22.653884887695312,22.653884887695312
000000000062,0.018387517,24.59147071838379,0.0847407802939415,0.0034741840790957212,0.8870684504508972,24.206138610839844,31.381336212158203,16.221033096313477
000000000063,0.011675143,29.926889419555664,0.04637403041124344,0.0010169766610488296,0.9538469314575195,21.732101440429688,25.83848762512207,23.654396057128906
000000000064,0.0060494835,23.338733673095703,0.06232922524213791,0.0046358187682926655,0.7929708957672119,19.960222244262695,31.179458618164062,22.577070236206055
000000000065,0.0046064993,26.377233505249023,0.07673200219869614,0.002302908105775714,0.8992923498153687,23.53299903869629,23.390811920166016,18.95159149169922
000000000066,0.011114466,nan,nan,nan,nan,29.2414493560791,30.233366012573242,30.233366012573242
000000000067,0.01206417,27.13934898376465,0.04541998356580734,0.0019322573207318783,0.919945240020752,23.516183853149414,26.306489944458008,23.217405319213867
000000000068,0.022208206,27.05922508239746,0.056961264461278915,0.0019682368729263544,0.9215196967124939,26.166006088256836,30.657392501831055,22.244056701660156
